pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id
2022-09-10 15:51:19.000000 UTC,2022-09-10 15:51:22.000000 UTC,0.01,2,121,121,2
2022-09-05 23:13:14.000000 UTC,2022-09-05 23:45:56.000000 UTC,11.7,0.08,93,74,2
2022-09-11 20:47:44.000000 UTC,2022-09-11 20:48:34.000000 UTC,0.24,0.2,130,130,2
2022-09-20 09:31:11.000000 UTC,2022-09-20 09:31:29.000000 UTC,0.04,0.65,40,40,2
2022-09-09 22:12:51.000000 UTC,2022-09-09 22:17:21.000000 UTC,0.1,0.01,93,93,1
2022-09-12 06:12:59.000000 UTC,2022-09-12 06:32:33.000000 UTC,4.4,0.01,65,209,1
2022-09-14 12:06:25.000000 UTC,2022-09-14 12:18:42.000000 UTC,2.1,0.01,66,87,1
2022-09-16 18:10:27.000000 UTC,2022-09-16 18:44:13.000000 UTC,6.2,0.01,75,243,1
2022-09-16 19:19:33.000000 UTC,2022-09-16 19:53:56.000000 UTC,2.2,0.01,41,74,1
2022-09-19 07:47:07.000000 UTC,2022-09-19 08:15:07.000000 UTC,3.5,0.01,145,237,1
2022-09-21 10:51:06.000000 UTC,2022-09-21 10:55:38.000000 UTC,0.7,0.01,80,80,1
2022-09-24 23:04:49.000000 UTC,2022-09-24 23:34:36.000000 UTC,5.3,0.01,36,45,1
2022-09-30 18:50:32.000000 UTC,2022-09-30 19:04:02.000000 UTC,4.2,0.01,196,138,1
2022-09-23 12:59:39.000000 UTC,2022-09-23 13:24:45.000000 UTC,4.32,0.25,35,181,2
2022-09-18 23:03:08.000000 UTC,2022-09-18 23:03:17.000000 UTC,0.05,0.83,7,7,2
2022-09-20 08:09:00.000000 UTC,2022-09-20 09:02:00.000000 UTC,9.33,30.72,71,134,2
2022-09-04 17:03:00.000000 UTC,2022-09-04 17:38:00.000000 UTC,6.58,30.72,188,55,2
2022-09-09 15:29:00.000000 UTC,2022-09-09 16:27:00.000000 UTC,5.95,30.72,189,39,2
2022-09-10 15:13:00.000000 UTC,2022-09-10 15:32:00.000000 UTC,7.32,30.72,66,178,2
2022-09-17 13:06:00.000000 UTC,2022-09-17 13:25:00.000000 UTC,9.29,30.72,164,138,2
2022-09-26 08:32:00.000000 UTC,2022-09-26 08:55:00.000000 UTC,8.07,30.72,42,138,2
2022-09-21 14:06:00.000000 UTC,2022-09-21 14:38:00.000000 UTC,9.87,35.84,244,211,2
2022-09-17 15:36:00.000000 UTC,2022-09-17 15:43:00.000000 UTC,1.03,10.24,260,83,2
2022-09-21 18:42:00.000000 UTC,2022-09-21 18:51:00.000000 UTC,1.62,10.24,193,145,2
2022-09-09 12:49:00.000000 UTC,2022-09-09 13:03:00.000000 UTC,2.07,10.24,169,241,2
2022-09-23 09:45:00.000000 UTC,2022-09-23 10:03:00.000000 UTC,1.38,10.24,74,75,2
2022-09-22 23:11:00.000000 UTC,2022-09-22 23:32:00.000000 UTC,2.97,15.36,166,262,2
2022-09-30 10:53:00.000000 UTC,2022-09-30 11:12:00.000000 UTC,5.11,20.48,52,112,2
2022-09-14 17:32:00.000000 UTC,2022-09-14 18:15:00.000000 UTC,6.11,25.6,65,198,2
2022-09-20 18:24:00.000000 UTC,2022-09-20 18:52:00.000000 UTC,5.16,25.6,72,256,2
2022-09-13 14:43:00.000000 UTC,2022-09-13 15:06:00.000000 UTC,1.73,13.54,189,25,2
2022-09-12 08:20:00.000000 UTC,2022-09-12 08:49:00.000000 UTC,4.4,18.66,116,75,2
2022-09-01 17:27:00.000000 UTC,2022-09-01 17:42:00.000000 UTC,3.28,18.66,166,141,2
2022-09-10 19:38:00.000000 UTC,2022-09-10 19:56:00.000000 UTC,6.32,23.78,74,212,2
2022-09-24 03:23:00.000000 UTC,2022-09-24 03:41:00.000000 UTC,4.93,23.78,255,141,2
2022-09-14 11:43:00.000000 UTC,2022-09-14 12:09:00.000000 UTC,5.7,23.78,244,142,2
2022-09-01 10:22:25.000000 UTC,2022-09-01 11:34:49.000000 UTC,14.62,54.5,82,22,2
2022-09-06 11:35:20.000000 UTC,2022-09-06 13:00:15.000000 UTC,13.17,54.5,21,55,2
2022-09-20 07:00:24.000000 UTC,2022-09-20 07:55:05.000000 UTC,16.93,54.5,55,55,2
2022-09-24 07:43:57.000000 UTC,2022-09-24 08:23:46.000000 UTC,19.2,54.5,95,50,2
2022-09-01 01:29:49.000000 UTC,2022-09-01 02:17:08.000000 UTC,18.96,54.5,93,87,2
2022-09-29 23:01:14.000000 UTC,2022-09-30 00:02:04.000000 UTC,16.22,54.5,166,227,2
2022-09-20 14:07:00.000000 UTC,2022-09-20 14:56:51.000000 UTC,18.6,54.5,74,132,1
2022-09-24 14:44:07.000000 UTC,2022-09-24 15:37:46.000000 UTC,18.27,54.5,33,132,2
