pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id,duracion_minutos,velocidad_mph
2022-09-03 06:25:00+00:00,2022-09-03 06:30:00+00:00,28772.58,9.9,159,159,2,5.0,345270.96
2022-09-14 10:41:00+00:00,2022-09-14 10:47:00+00:00,31540.98,9.9,83,82,2,6.0,315409.8
2022-09-15 01:36:00+00:00,2022-09-15 01:41:00+00:00,0.04,9.9,42,74,2,5.0,0.48
2022-09-19 16:56:00+00:00,2022-09-19 17:01:00+00:00,51910.75,9.9,129,70,2,5.0,622929.0
2022-09-22 20:15:00+00:00,2022-09-22 20:23:00+00:00,91152.89,9.9,10,218,2,8.0,683646.675
2022-09-07 01:15:49+00:00,2022-09-07 01:15:51+00:00,15.05,90.0,264,264,2,0.0333333333333333,27090.0
2022-09-13 20:36:12+00:00,2022-09-14 20:07:46+00:00,13.91,90.0,57,261,2,1411.5666666666666,0.5912579403499658
2022-09-02 00:53:34+00:00,2022-09-02 01:02:43+00:00,0.15,90.0,93,264,2,9.15,0.9836065573770492
2022-09-02 00:16:50+00:00,2022-09-02 23:14:18+00:00,14.33,90.0,93,209,2,1377.4666666666667,0.6241893330752105
2022-09-15 13:36:00+00:00,2022-09-15 13:38:00+00:00,0.02,8.08,74,74,2,2.0,0.6
2022-09-22 17:12:13+00:00,2022-09-22 17:41:06+00:00,0.13,16.5,129,138,2,28.883333333333333,0.2700519330640508
2022-09-11 03:42:49+00:00,2022-09-12 03:27:53+00:00,2.12,16.5,25,189,2,1425.0666666666666,0.0892589820359281
