pickup_datetime,dropoff_datetime,trip_distance,fare_amount,pickup_location_id,dropoff_location_id,vendor_id,duracion_minutos,velocidad_mph
2022-09-10 15:51:19+00:00,2022-09-10 15:51:22+00:00,0.01,2.0,121,121,2,0.05,12.0
2022-09-20 08:09:00+00:00,2022-09-20 09:02:00+00:00,9.33,30.72,71,134,2,53.0,10.562264150943395
2022-09-04 17:03:00+00:00,2022-09-04 17:38:00+00:00,6.58,30.72,188,55,2,35.0,11.28
2022-09-09 15:29:00+00:00,2022-09-09 16:27:00+00:00,5.95,30.72,189,39,2,58.0,6.155172413793103
2022-09-10 15:13:00+00:00,2022-09-10 15:32:00+00:00,7.32,30.72,66,178,2,19.0,23.115789473684213
2022-09-17 13:06:00+00:00,2022-09-17 13:25:00+00:00,9.29,30.72,164,138,2,19.0,29.336842105263155
2022-09-26 08:32:00+00:00,2022-09-26 08:55:00+00:00,8.07,30.72,42,138,2,23.0,21.05217391304348
2022-09-21 14:06:00+00:00,2022-09-21 14:38:00+00:00,9.87,35.84,244,211,2,32.0,18.50625
2022-09-17 15:36:00+00:00,2022-09-17 15:43:00+00:00,1.03,10.24,260,83,2,7.0,8.82857142857143
2022-09-21 18:42:00+00:00,2022-09-21 18:51:00+00:00,1.62,10.24,193,145,2,9.0,10.8
2022-09-09 12:49:00+00:00,2022-09-09 13:03:00+00:00,2.07,10.24,169,241,2,14.0,8.87142857142857
2022-09-23 09:45:00+00:00,2022-09-23 10:03:00+00:00,1.38,10.24,74,75,2,18.0,4.6
2022-09-22 23:11:00+00:00,2022-09-22 23:32:00+00:00,2.97,15.36,166,262,2,21.0,8.485714285714288
2022-09-30 10:53:00+00:00,2022-09-30 11:12:00+00:00,5.11,20.48,52,112,2,19.0,16.13684210526316
2022-09-14 17:32:00+00:00,2022-09-14 18:15:00+00:00,6.11,25.6,65,198,2,43.0,8.525581395348837
2022-09-20 18:24:00+00:00,2022-09-20 18:52:00+00:00,5.16,25.6,72,256,2,28.0,11.057142857142855
2022-09-13 14:43:00+00:00,2022-09-13 15:06:00+00:00,1.73,13.54,189,25,2,23.0,4.513043478260869
2022-09-12 08:20:00+00:00,2022-09-12 08:49:00+00:00,4.4,18.66,116,75,2,29.0,9.10344827586207
